class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,b,g,w,t,a,f,c,b,n,e,b,s,s,w,n,p,o,o,l,k,a,g
e,f,g,p,t,y,d,c,b,h,e,e,y,y,g,g,p,o,o,l,h,s,u
p,x,y,u,f,l,n,w,n,k,e,z,s,s,b,w,u,y,o,p,k,v,m
e,s,y,y,f,s,f,c,b,e,e,e,s,y,e,e,p,o,b,l,n,s,p
e,s,s,g,f,m,f,c,n,y,t,r,s,s,p,p,u,w,o,s,k,y,u
e,k,s,w,t,p,d,c,b,g,e,z,y,y,w,w,p,o,o,p,n,v,g
e,x,f,w,f,n,f,c,n,h,t,b,k,s,e,e,p,w,o,p,n,v,d
e,x,f,w,t,l,a,c,b,h,e,c,s,s,e,e,p,n,b,p,k,s,l
e,f,y,y,f,y,f,c,n,e,e,e,s,s,g,w,p,w,o,p,n,s,g
e,k,f,y,t,l,a,w,b,w,e,z,s,y,b,w,p,n,o,e,n,v,d
e,f,s,n,f,m,f,d,b,b,e,r,s,y,p,w,u,w,o,p,k,n,p
e,f,y,y,t,a,f,c,n,e,e,r,s,s,e,e,u,w,o,s,u,y,u
e,f,s,b,f,l,f,c,b,h,t,c,s,s,e,e,p,y,b,z,u,s,g
e,x,s,w,t,a,d,c,b,w,e,z,y,s,w,o,p,w,o,p,r,n,m
p,s,f,b,t,p,f,c,b,y,e,r,s,s,w,y,p,n,o,p,y,y,u
e,x,f,c,t,a,f,d,n,u,t,b,k,s,y,w,p,w,o,p,y,n,d
e,c,s,w,f,l,n,w,n,w,e,c,s,s,w,w,u,w,o,p,n,c,g
e,c,s,p,f,p,f,w,n,p,t,c,s,s,w,w,u,y,o,p,u,c,d
e,x,s,w,f,a,n,d,b,n,t,u,s,s,y,w,p,w,t,z,k,s,d
e,f,y,w,t,l,d,c,b,w,e,u,y,y,c,w,p,o,t,p,k,y,l
e,f,s,n,f,y,f,c,b,h,t,e,s,s,w,g,p,w,b,s,h,s,g
e,c,y,b,t,a,a,w,b,p,e,r,f,y,w,w,p,n,o,p,n,c,g
p,x,f,n,t,p,f,c,n,p,e,b,f,s,e,e,p,w,o,p,n,a,g
e,k,f,n,f,n,f,w,b,g,e,e,f,f,w,w,p,w,o,p,w,v,p
e,s,y,y,f,s,f,c,n,w,e,c,s,s,y,w,u,w,t,n,y,s,m
e,s,g,b,t,s,f,c,b,n,e,c,y,s,c,w,p,o,t,p,b,s,p
e,b,y,n,t,l,f,c,b,k,e,b,s,s,w,g,p,w,o,f,h,a,m
e,f,f,e,f,c,f,c,n,y,e,r,s,k,w,c,u,w,o,p,b,v,u
e,f,s,p,t,y,f,c,n,w,e,c,s,s,w,w,u,w,b,s,k,n,w
e,c,y,p,f,l,f,w,n,n,e,c,k,s,w,w,p,w,o,n,k,c,u
e,b,s,w,t,a,n,c,n,g,e,c,s,s,w,w,u,w,b,p,n,a,m
e,b,y,r,t,l,f,c,n,w,t,b,k,y,g,w,p,w,b,p,h,a,g
p,s,s,w,f,c,n,d,n,e,e,e,s,s,w,n,u,y,b,p,k,s,u
e,s,s,w,t,m,f,d,b,n,e,r,y,y,p,p,p,o,o,l,o,y,p
e,s,y,w,t,a,f,c,b,r,e,c,y,y,w,w,p,w,t,p,b,y,d
e,b,y,u,f,l,f,c,n,k,t,b,k,k,w,g,p,w,o,p,u,a,d
e,f,s,g,f,y,f,c,n,e,e,e,s,s,g,g,p,w,b,z,h,s,u
e,x,s,g,f,c,f,d,b,u,e,u,f,s,w,w,p,n,o,e,b,a,l
e,x,s,y,t,a,n,d,b,u,t,u,s,s,w,y,u,y,o,s,y,n,d
e,c,s,w,t,p,a,c,b,h,e,e,s,y,w,w,p,o,b,f,n,s,m
p,f,y,n,t,p,a,c,b,w,e,z,f,s,o,w,p,w,o,p,r,v,m
e,x,s,e,t,l,a,c,b,n,e,r,f,f,y,y,p,n,o,c,k,y,m
p,c,s,p,f,l,f,w,n,p,e,c,k,s,b,w,p,w,o,p,n,c,g
e,x,y,w,t,l,f,w,b,k,e,c,s,k,w,w,p,w,o,p,w,c,d
e,x,y,n,t,n,d,c,b,k,e,c,y,s,e,w,p,o,o,p,u,a,m
e,f,y,n,f,m,f,c,b,n,t,u,k,y,p,p,p,w,t,p,o,n,p
e,b,f,r,t,a,a,c,b,w,e,b,s,y,e,w,p,n,b,p,o,s,p
e,f,y,p,t,a,n,d,b,w,e,r,s,y,c,w,u,w,t,s,n,y,p
e,x,y,c,t,s,n,d,b,w,t,c,s,s,y,y,p,y,o,s,y,n,m
e,k,s,c,f,f,n,w,n,h,t,z,s,s,w,w,u,y,o,e,r,v,g
e,s,f,p,t,s,a,d,b,r,e,c,f,f,y,y,p,w,t,p,n,n,m
p,x,y,w,t,m,a,c,b,b,e,u,f,s,p,w,p,w,t,c,o,s,u
e,b,y,y,f,m,n,d,n,n,t,c,s,s,w,w,u,y,o,p,n,n,l
e,s,f,b,f,n,f,c,b,n,e,c,f,f,w,w,p,n,o,c,n,v,m
e,c,s,b,t,l,a,c,b,k,e,r,s,s,p,p,p,w,t,p,o,s,d
e,b,s,n,f,n,f,c,n,o,e,b,s,s,w,w,p,w,b,p,u,a,g
e,k,s,u,t,a,f,w,b,g,e,z,s,s,w,w,p,y,o,s,r,s,g
e,s,y,y,t,s,a,c,b,g,e,r,f,s,y,y,p,w,o,e,y,s,u
e,b,y,w,t,a,d,c,b,g,e,b,y,s,w,g,p,w,o,p,k,s,u
e,x,f,n,t,s,f,d,b,u,e,u,f,f,w,y,p,w,o,c,n,n,p
e,b,y,c,f,y,f,c,n,o,e,b,s,s,w,g,u,w,o,p,h,y,d
e,k,f,w,t,p,a,c,n,w,t,e,s,s,w,b,u,y,o,z,k,y,u
e,b,g,r,t,l,d,w,b,n,e,z,y,s,w,w,p,o,o,l,n,s,g
e,x,s,w,f,f,n,w,b,g,t,z,s,s,w,o,u,y,o,p,k,s,m
e,x,y,w,f,l,f,d,n,b,e,u,s,s,w,w,p,w,t,p,n,s,p
e,x,s,p,t,a,f,c,n,g,e,c,s,s,w,g,u,y,o,s,k,s,m
e,x,f,c,t,a,a,d,b,g,e,u,f,s,w,p,p,w,o,p,n,n,p
e,x,y,u,f,m,f,c,b,k,e,u,k,k,w,p,p,w,t,p,o,n,l
e,x,s,c,f,n,f,w,n,k,t,b,f,f,e,e,u,w,o,e,k,a,g
